,VKORG,COND_TYPE,DST_CH,DIV,Month_year,Amount,Customer_ID,Internal_Grade,Mill,OFFER_ EFF_PR _NUMBER,OFFER_ALLOY_NUMBER,OFFER_ALLOY,OFFER_EFF_PR
50556,0400,Z133,02,02,202204,444.0,93607,SG3MoV,Hamburg,,,,
50557,0400,Z133,02,02,202204,211.0,93607,SG1NiCu30,Hamburg,,,,
50558,0400,Z133,02,02,202204,403.0,93607,SU8NiMo,Hamburg,,,,
50559,0400,Z133,02,02,202204,504.0,93607,SU12CrMo,Hamburg,,,,
50560,0400,Z133,02,02,202204,477.0,93607,SU6MoCr550,Hamburg,,,,
50561,0400,Z133,02,02,202204,524.0,93607,SG2CrMo95,Hamburg,,,,
50562,0400,Z133,02,02,202204,455.0,93607,SG2NiMo25,Hamburg,,,,
50563,0400,Z133,02,02,202204,278.0,93607,SG3CrMo,Hamburg,,,,
50564,0400,Z133,02,02,202204,220.0,93607,SU10MoSi,Hamburg,,,,
50565,0400,Z133,02,02,202204,556.0,93607,SU9VNb,Hamburg,,,,
50566,0400,Z133,02,02,202204,658.0,93607,SU8Ni320,Hamburg,,,,
50567,0400,Z133,02,02,202204,734.0,93607,SG8Cr900,Hamburg,,,,
50568,0400,Z133,02,02,202204,749.0,93607,SG9NiMo,Hamburg,,,,
50569,0400,Z133,02,02,202204,478.0,93607,SU6MoNi145,Hamburg,,,,
50570,0400,Z133,02,02,202204,744.0,93607,S3NiMoCr,Hamburg,,,,
50571,0400,Z133,02,02,202204,219.0,93607,SG3Ni ,Hamburg,,,,
50572,0400,Z133,02,02,202204,177.0,93607,SG1NiCu,Hamburg,,,,
50573,0400,Z133,02,02,202204,320.0,93607,SG8Ni,Hamburg,,,,
50574,0400,Z133,02,02,202204,291.0,93607,SU9NiMo,Hamburg,,,,
50575,0400,Z133,02,02,202204,221.0,93607,SU10MoSi,Hamburg,,,,
50576,0400,Z133,02,02,202204,250.0,93607,SG1Mo,Hamburg,,,,
50577,0400,Z133,02,02,202204,529.0,93607,SG8SiCr,Hamburg,,,,
50578,0400,Z133,02,02,202204,261.0,93607,SU13CrMo,Hamburg,,,,
50579,0400,Z133,02,02,202204,493.0,93607,SG2Ni235,Hamburg,,,,
